marker_channel,use,PxS(marker),PxN(channel)
SSC-W,1,null,SSC-W
SSC-A,1,null,SSC-A
SSC-H,1,null,SSC-H
FSC-W,1,null,FSC-W
FSC-A,1,null,FSC-A
FSC-H,1,null,FSC-H
Time,0,null,Time
IFNg_FJComp-BUV737-A,1,IFNg,FJComp-BUV737-A
FOXP3_FJComp-APC-A,1,FOXP3,FJComp-APC-A
CD25_FJComp-BV711-A,1,CD25,FJComp-BV711-A
CD3_FJComp-BB700-P-A,1,CD3,FJComp-BB700-P-A
IL-2_FJComp-BB630-A,1,IL-2,FJComp-BB630-A
GATA3_FJComp-BUV395-A,1,GATA3,FJComp-BUV395-A
CD45RA_FJComp-BUV563-A,1,CD45RA,FJComp-BUV563-A
CD19_FJComp-BV480-A,1,CD19,FJComp-BV480-A
IL-4_FJComp-BV421-A,1,IL-4,FJComp-BV421-A
IL-10_FJComp-BV650-A,1,IL-10,FJComp-BV650-A
RORgt_FJComp-BYG584-A,1,RORgt,FJComp-BYG584-A
IL-6_FJComp-PE-CF594-A,1,IL-6,FJComp-PE-CF594-A
Tbet_FJComp-BUV615-P-A,1,Tbet,FJComp-BUV615-P-A
CD8_FJComp-BUV805-A,1,CD8,FJComp-BUV805-A
CCR7_FJComp-BYG790-A,1,CCR7,FJComp-BYG790-A
CD14_FJComp-PE-Cy5.5-A,1,CD14,FJComp-PE-Cy5.5-A
HLA-DR_FJComp-BV570-A,1,HLA-DR,FJComp-BV570-A
CD4_FJComp-BUV496-A,1,CD4,FJComp-BUV496-A
4-IBB_FJComp-BV605-A,1,4-IBB,FJComp-BV605-A
-_FJComp-BB660-P-A,0,-,FJComp-BB660-P-A
CD40L_FJComp-BV786-A,1,CD40L,FJComp-BV786-A
IL-17a_FJComp-APC-R700-A,1,IL-17a,FJComp-APC-R700-A
-_FJComp-BUV661-A,0,-,FJComp-BUV661-A
CTLA-4_FJComp-BYG670-A,1,CTLA-4,FJComp-BYG670-A
PD-1_FJComp-BV750-P-A,1,PD-1,FJComp-BV750-P-A
TNFa_FJComp-FITC-A,1,TNFa,FJComp-FITC-A
livedead_FJComp-APC-H7-A,1,livedead,FJComp-APC-H7-A
-_FJComp-BB790-P-A,0,-,FJComp-BB790-P-A
